"","Subtype","EBF","TCF","TNF","LMAN2","RARG","SMAD3B2","ZAP70_CpG3","ZAP70_SHORE","CLL13R.Imp","CLL15R.Imp","CLL1R.3.Imp","CLL5R.Imp","CLL6R.Imp","CLL9F.Imp","Myeloid1R.2.Imp","Myeloid4F.2.Imp","Myeloid6R.Imp","T.NK1R.Imp","T.NK4F.Imp","T.NK5F.Imp"
"P0011","HP",0.10024,0.187943333,0.0497035,0.38653425,0.76632,0.658955333,0.546898,0.802083,0.95,1,0.97,1,0.95,0.9,0.91,1,1,0,0.1,0.13
"P0024","HP",0.140121,0.29262,0.0860295,0.47799225,0.6642705,0.727415,0.301872,0.669125,0.8,0.97,0.92,0.81,0.95,0.88,1,1,1,0.07,0.1,0.16
"P0028","HP",0.097701,0.296201333,0.04864,0.46397175,0.605902,0.475307667,0.463818,0.818216,0.86,1,1,0.96,0.95,0.87,1,1,1,0.1,0.1,0.13
"P0029","HP",0.0812885,0.173072667,0.05278,0.6890695,1,0.774152333,0.65937,0.780627667,0.95,0.75,0.88,0.75,0.95,0.72,1,1,1,0.15,0.1,0.12
"P0032","HP",0.082985,0.236918667,0.1151755,0.39594025,0.7723175,0.739597,0.784698,0.799707333,0.88,1,0.92,0.88,0.95,0.79,1,1,1,0.02,0.1,0.17
"P0038","HP",0.1302885,0.155455,0.038124,0.51771575,0.546915,0.404134667,0.707058,0.814375667,0.95,1,0.74,1,0.95,0.83,1,1,1,0.1,0.1,0.1
"P0047","HP",0.097943,0.167848,0.20627,0.35906275,0.5715135,0.679681333,0.682316,0.795989333,0.95,0.86,0.84,0.82,0.95,0.78,1,1,1,0.17,0.1,0.15
"P0050","HP",0.08527,0.186904,0.3773985,0.357473,0.5868455,0.552469333,0.381935,0.64399,0.83,0.83,0.79,0.75,0.78,0.7,1,1,1,0.18,0.1,0.18
"P0051","HP",0.13719,0.171537667,0.0135775,0.427062,0.765718,0.803937,0.663277,0.708037333,0.95,1,0.86,0.86,0.95,0.83,1,1,1,0.09,0.1,0.14
"P0054","HP",0.079069,0.284719667,0.0814645,0.4938025,0.7894995,0.728134667,0.713932,0.696045,0.82,0.8,0.85,0.81,0.95,0.68,1,1,1,0.12,0.1,0.15
"P0056","HP",0.16028,0.142641667,0.0897905,0.60151425,0.588316,0.646505333,0.643121,0.797236,0.74,0.85,0.82,0.7,0.84,0.77,0.81,1,1,0.09,0.1,0.12
"P0065","HP",0.12528,0.229055667,0.101109,0.723042,0.466609,0.6166825,0.700084,0.852825333,0.57,0.82,0.64,0.68,0.6,0.63,1,1,1,0.1,0.1,0.12
"P0071","HP",0.098947,0.218323667,0.0584955,0.63387375,0.6427855,0.734708333,0.402473,0.725406667,0.79,0.99,0.98,0.9,0.95,0.86,0.91,1,1,0.08,0.1,0.14
"P0095","HP",0.0414995,0.161221333,0.221886,0.266913,0.3851665,0.8780815,0.550791,0.835372,0.95,1,0.97,1,0.95,0.84,1,1,1,0,0.1,0.08
"P0099","HP",0.2622095,0.209719667,0.068831,0.560336,0.6870005,0.699938,0.456142,0.491612,0.95,1,0.96,0.95,0.95,0.86,1,1,1,0.11,0.1,0.23
"P0100","HP",0.1393385,0.247698667,0.250729,0.35852175,0.328279,0.455749,0.623343,0.743515,0.95,0.94,0.85,0.92,0.95,0.81,1,1,1,0,0.1,0.1
"P0107","HP",0.0585015,0.115159,0.1209855,0.4946665,0.7843185,0.92938,0.681533,0.701899333,0.95,0.94,1,1,0.95,1,1,1,1,0,0.1,0.07
"P0349","HP",0.081345,0.191158333,0.115432,0.51681175,0.691577,0.770246,0.740272,0.838546,0.95,1,0.9,0.88,0.95,0.9,0.84,1,1,0.07,0.1,0.13
"P0428","HP",0.116708,0.228800333,0.0684245,0.46739775,0.789025,0.659156667,0.73853,0.747298333,0.95,0.92,1,0.83,0.95,0.87,1,1,1,0.01,0.1,0.17
"P0430","HP",0.1367985,0.232832,0.0997795,0.5278285,0.665612,0.728735333,0.554095,0.80658,0.95,1,0.99,0.96,0.95,0.79,1,1,1,0.01,0.1,0.17
"P0437","HP",0.089477,0.267720333,0.050987,0.6182945,0.720667,0.805080667,0.533846,0.78317,0.95,1,0.86,0.95,0.95,0.82,1,0.78,1,0.1,0.1,0.12
"P0440","HP",0.436177,0.177363667,0.387955,0.4615505,0.6788355,0.699514,0.718296,0.781252333,0.63,0.74,0.98,0.75,0.95,0.76,1,1,1,0.08,0.1,0.12
"P0441","HP",0.212117,0.188116333,0.0555915,0.581942,0.288129,0.75547,0.624647,0.695145333,0.94,1,0.91,0.96,0.95,0.89,1,1,1,0.1,0.1,0.11
